"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: NoReg","1","0","23","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: NoReg","0","0","21","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: NoAuth","0","0","24","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ro","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ro","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: au / Role: NoReg","0","0","24","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ro","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: au / Role: NoAuth","0","0","24","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: au / Role: Auth","2","0","11","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: au / Role: Auth","7","0","18","2","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: au / Role: NoReg","0","0","12","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ro","Country: au / Role: NoAuth","0","0","4","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: Auth","7","0","15","6","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: au / Role: NoAuth","0","0","12","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: Auth","9","1","15","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: NoAuth","0","0","21","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ro","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ro","Country: au / Role: NoReg","0","0","3","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ro","Country: au / Role: Auth","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ro","Country: au / Role: Auth","1","0","4","4","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ro","Country: au / Role: Auth","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ro","Country: au / Role: Auth","0","0","4","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ro","Country: au / Role: Auth","0","0","0","6","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ro","Country: au / Role: NoReg","0","0","4","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","4","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ro","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ro","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: ro","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: ro","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ro","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: au / Role: NoReg","0","0","0","4","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ro","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ro","Country: au / Role: NoAuth","0","0","3","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ro","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_00.00 | Main Page","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ro","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ro","Country: au / Role: Auth","0","0","1","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: au / Role: Auth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: au / Role: Auth","0","0","0","4","0"
